Producto,Cantidad,Marca,Tamaño,Categoría,Precio,Imagen
Jumbo flow mini,7,Jumbo,18 g (10 unidades),Golosinas,3500,https://www.confitiendas.com/wp-content/uploads/2022/03/14988_202102242248456100306.jpeg
Melositas gomitas sabor a mora,7,Melositas,40 g,Golosinas,2800,https://www.casaluker.com/wp-content/uploads/2024/04/GOMA-MORA-125G.png
Sopa durema lenteja,9,Durema,120 gr,Sopas,3500,https://images.rappi.com/products/5a42127d-2d82-4663-86b9-ff76589304a8.png
Sopa durema alverja,8,Durema,120 gr,Sopas,3500,https://supertiendascomunal.com/7811-large_default/sopa-arveja-durena-120-g.jpg
Sopa durema arroz,6,Durema,120 gr,Sopas,3500,https://i.imgur.com/JiAm6ir.png
Crema de tomate Maggi,7,Maggi,76 gr,Sopas,4200,https://megatiendas.vtexassets.com/arquivos/ids/171718/7702024275695.jpg
Crema de pollo champiñones Maggi,1,Maggi,76 gr,Sopas,4200,https://exitocol.vteximg.com.br/arquivos/ids/26997709/Crema-De-Pollo-Con-Champinones-Sobre-X-75-gr-13382_a.jpg
Crema marinera Maggi,1,Maggi,76 gr,Sopas,4200,https://www.nestle-contigo.co/sites/default/files/2024-01/22084%20-%20SOPA%20MARINERA%2056g%2044280539%20Front.jpg
Crema de champiñones,10,De la abuela,76 gr,Sopas,3800,https://i.ytimg.com/vi/TmNUJ9WMECg/maxresdefault.jpg
Crema de pollo,1,De la abuela,76 gr,Sopas,3800,https://assets.unileversolutions.com/v1/1707859.png
Base salsa bechamel Maggi,2,Maggi,50 gr,Base para salsas,3500,https://www.nestle-contigo.co/sites/default/files/2024-01/21842%20-%20DELICIAS%20PASTA%20BECHAMEL%20SACHET%2024x50g%20CO_44280575%20Front.jpg
Base salsa Maggi chop suey,3,Maggi,50 gr,Base para salsas,3500,https://exitocol.vtexassets.com/arquivos/ids/26980654/Base-Chop-Suey-Para-Cocinar-Sobre-X-41-gr-129874_b.jpg
Base salsa gulach Maggi,4,Maggi,50 gr,Base para salsas,3500,https://misaboracolombia.com/cdn/shop/products/MaggiBaseGulash1.jpg
Base salsa pollo con champiñones,6,Maggi,50 gr,Base para salsas,3500,https://exitocol.vtexassets.com/arquivos/ids/26980618/Base-P-Pollo-Con-Champinones-714654_a.jpg
Bolognesa Base salsa,10,Maggi,50 gr,Base para salsas,3500,https://mercaldas.vtexassets.com/arquivos/ids/1329322/Base-MAGGI-salsa-bolonesa-x50-g_21526.jpg
Desmechada Base salsa,4,Maggi,51 gr,Base para salsas,3500,https://www.nestle-contigo.co/sites/default/files/2024-04/21842%20-%20MAGGI%20BASE%20CARNE%20DESMECHADA%2024x50g_44280591%20Front.jpg
Napolitana Base salsa,6,Maggi,52 gr,Base para salsas,3500,https://exitocol.vtexassets.com/arquivos/ids/27275337/Base-Salsa-MAGGI-Napolitana-48-gr-3586731_b.jpg
Atún en aceite,5,Zenú,160 gr,Conservas,6500,https://olimpica.vtexassets.com/arquivos/ids/1785371/7701101359587_1.png.png
Atún en agua,5,Zenú,160 gr,Conservas,6200,https://exitocol.vtexassets.com/arquivos/ids/27107512/Lomo-Atun-en-Agua-ZENU-160-gr-3075034_b.jpg
Bary salchichas viena,4,Bary,150 gr,Conservas,4800,https://carulla.vtexassets.com/arquivos/ids/19599323/Salchicha-BARY-Viena-Lata-150-gr-3577959_a.jpg
Comercializadora Cerezas en almíbar,1,Comercializadora,125 g,Conservas,5500,https://supermercadolaestacion.com/46360-thickbox_default/cerezas-almin-en-almibar-frasco-x-75-gramos.jpg
Midia duraznos en mitades,8,Midia,425 g,Conservas,8500,https://www.midia.com.co/sites/default/files/styles/product_detail/public/2017-06/Duraznos%20425%20g.jpg
Comercio fideos,8,Comercio,250 gr,Pastas,2800,https://i.imgur.com/B7ViAvz.png
Comerico spaghetti,10,Comercio,250 gr,Pastas,2800,https://exitocol.vtexassets.com/arquivos/ids/26661386/Pasta-Spaguetti-708122_b.jpg
Conchas Doria,8,Doria,250 gr,Pastas,3200,https://jumbocolombiaio.vtexassets.com/arquivos/ids/186166/7702085012123-1.jpg
Fideos Doria,2,Doria,250 gr,Pastas,3200,https://olimpica.vtexassets.com/arquivos/ids/1784841/7702085012062_2.png.png
Doria macarrón largo,4,Doria,250 gr,Pastas,3200,https://mercaldas.vtexassets.com/arquivos/ids/1345690/Pasta-DORIA-macarron-largo-x250-g_100262.jpg.jpg
Fideos San remo,8,San Remo,250 gr,Pastas,3000,https://exitocol.vteximg.com.br/arquivos/ids/26667002/Pasta-Fideo-400G-SAN-REMO-400-Gramo-1509906_a.jpg
Spaghetti la muñeca,5,La Muñeca,200 gr,Pastas,2500,https://exitocol.vteximg.com.br/arquivos/ids/26661355/Pasta-Spaguetti-1000-gr-603117_a.jpg
